attributeName	code	definition
filter_size	>0	Filtered on 0.7 micron filter
iode_quality_flag	1	good
iode_quality_flag	2	quality not evaluated not available or unknown
iode_quality_flag	3	questionable suspect
iode_quality_flag	4	bad
iode_quality_flag	9	missing data
preferred_fluorometer	1	fluorometer number 1 in ship-provided data
preferred_fluorometer	2	fluorometer number 2 in ship-provided data
preferred_fluo_name	ecofl	WETLabs ECO FLRTD fluorometer
preferred_fluo_name	wetstar	WETLabs WETStar fluorometer
