cruise,date_time_utc,latitude,longitude,depth,replicate,filter_size,chl,phaeo,iode_quality_flag
en644,2019-08-19T17:10:00Z,41.2585,-71.1358,5,a,>0,0.89,0.73,1
en644,2019-08-19T17:10:00Z,41.2585,-71.1358,5,b,>0,0.77,0.96,1
en644,2019-08-19T17:10:00Z,41.2585,-71.1358,5,c,>0,0.9,0.76,1
en644,2019-08-19T17:47:00Z,41.2585,-71.1264,5,a,>0,0.55,2.06,3
en644,2019-08-19T17:47:00Z,41.2585,-71.1264,5,b,>0,1.17,1.08,1
en644,2019-08-19T17:47:00Z,41.2585,-71.1264,5,c,>0,0.9,1.84,3
en644,2019-08-19T19:00:00Z,41.3021,-71.2476,5,a,>0,0.76,3.24,3
en644,2019-08-19T19:00:00Z,41.3021,-71.2476,5,b,>0,1.28,1.77,1
en644,2019-08-19T19:00:00Z,41.3021,-71.2476,5,c,>0,1.36,1.9,1
en644,2019-08-19T20:04:00Z,41.3858,-71.3639,5,a,>0,1.69,2.97,3
en644,2019-08-19T20:04:00Z,41.3858,-71.3639,5,b,>0,1.86,2.7,1
en644,2019-08-19T20:04:00Z,41.3858,-71.3639,5,c,>0,2.3,1.67,1
en644,2019-08-19T20:26:00Z,41.4186,-71.4048,5,a,>0,3.45,2.63,1
en644,2019-08-19T20:26:00Z,41.4186,-71.4048,5,b,>0,3.21,1.64,3
en644,2019-08-19T20:26:00Z,41.4186,-71.4048,5,c,>0,3.64,2.7,1
en644,2019-08-21T03:50:00Z,41.0332,-70.9259,5,a,>0,1.47,0.64,3
en644,2019-08-21T03:50:00Z,41.0332,-70.9259,5,b,>0,2.28,1.28,1
en644,2019-08-21T03:50:00Z,41.0332,-70.9259,5,c,>0,2.31,1.52,1
en644,2019-08-21T06:08:00Z,41.029,-70.9588,5,a,>0,3.76,2.37,1
en644,2019-08-21T06:08:00Z,41.029,-70.9588,5,b,>0,3.97,1.57,3
en644,2019-08-21T06:08:00Z,41.029,-70.9588,5,c,>0,3.78,2.11,1
en644,2019-08-21T06:14:00Z,41.0293,-70.9368,5,a,>0,2.69,1.56,1
en644,2019-08-21T06:14:00Z,41.0293,-70.9368,5,b,>0,2.77,1.23,3
en644,2019-08-21T06:14:00Z,41.0293,-70.9368,5,c,>0,2.63,1.4,1
en644,2019-08-22T07:39:00Z,40.0979,-70.7704,5,a,>0,0.52,0.3,1
en644,2019-08-22T07:39:00Z,40.0979,-70.7704,5,b,>0,0.42,0.42,1
en644,2019-08-22T07:39:00Z,40.0979,-70.7704,5,c,>0,0.57,0.42,1
en644,2019-08-22T07:55:00Z,40.0987,-70.7189,5,a,>0,0.52,0.83,1
en644,2019-08-22T07:55:00Z,40.0987,-70.7189,5,b,>0,0.25,0.47,3
