cruise,date_time_utc,latitude,longitude,depth,fluorescence_post_cal,iode_quality_flag,preferred_fluorometer,preferred_fluo_name
en644,2019-08-19T13:51:00Z,41.3924,-71.4206,5,2.86,3,2,ecofl
en644,2019-08-19T13:52:00Z,41.3899,-71.4211,5,2.96,3,2,ecofl
en644,2019-08-19T13:53:00Z,41.3874,-71.4217,5,2.96,3,2,ecofl
en644,2019-08-19T13:54:00Z,41.3849,-71.422,5,2.96,3,2,ecofl
en644,2019-08-19T13:55:00Z,41.3824,-71.4222,5,3.09,3,2,ecofl
en644,2019-08-19T13:56:00Z,41.3799,-71.4225,5,3.14,1,2,ecofl
en644,2019-08-19T13:57:00Z,41.3773,-71.4227,5,3.18,1,2,ecofl
en644,2019-08-19T13:58:00Z,41.3748,-71.4225,5,3.41,1,2,ecofl
en644,2019-08-19T13:59:00Z,41.3723,-71.4226,5,3.32,1,2,ecofl
en644,2019-08-19T14:00:00Z,41.3698,-71.4226,5,3.46,1,2,ecofl
en644,2019-08-19T14:01:00Z,41.3673,-71.4225,5,3.46,1,2,ecofl
en644,2019-08-19T14:02:00Z,41.3647,-71.4224,5,3.5,1,2,ecofl
en644,2019-08-19T14:03:00Z,41.3622,-71.4226,5,3.5,1,2,ecofl
en644,2019-08-19T14:04:00Z,41.3597,-71.4225,5,3.82,1,2,ecofl
en644,2019-08-19T14:05:00Z,41.3571,-71.4223,5,3.96,1,2,ecofl
en644,2019-08-19T14:06:00Z,41.3545,-71.4224,5,3.64,1,2,ecofl
en644,2019-08-19T14:07:00Z,41.3519,-71.4224,5,3.59,1,2,ecofl
en644,2019-08-19T14:08:00Z,41.3493,-71.4223,5,3.59,1,2,ecofl
en644,2019-08-19T14:09:00Z,41.3467,-71.4225,5,3.46,1,2,ecofl
en644,2019-08-19T14:10:00Z,41.3442,-71.4223,5,3.27,1,2,ecofl
en644,2019-08-19T14:11:00Z,41.3415,-71.4224,5,3.23,1,2,ecofl
en644,2019-08-19T14:12:00Z,41.3389,-71.4223,5,2.91,1,2,ecofl
en644,2019-08-19T14:13:00Z,41.3362,-71.4223,5,2.64,1,2,ecofl
en644,2019-08-19T14:14:00Z,41.3336,-71.4224,5,2.55,1,2,ecofl
en644,2019-08-19T14:15:00Z,41.331,-71.4222,5,2.59,1,2,ecofl
en644,2019-08-19T14:16:00Z,41.3284,-71.4215,5,2.45,1,2,ecofl
en644,2019-08-19T14:17:00Z,41.3269,-71.4191,5,2.45,1,2,ecofl
en644,2019-08-19T14:18:00Z,41.326,-71.4159,5,2.55,1,2,ecofl
en644,2019-08-19T14:19:00Z,41.3252,-71.4124,5,2.82,1,2,ecofl
en644,2019-08-19T14:20:00Z,41.3243,-71.409,5,3.05,1,2,ecofl
en644,2019-08-19T14:21:00Z,41.3235,-71.4054,5,2.77,1,2,ecofl
en644,2019-08-19T14:22:00Z,41.3225,-71.402,5,2.55,1,2,ecofl
en644,2019-08-19T14:23:00Z,41.3217,-71.3984,5,2.64,1,2,ecofl
en644,2019-08-19T14:24:00Z,41.3207,-71.3951,5,2.45,1,2,ecofl
en644,2019-08-19T14:25:00Z,41.3197,-71.3916,5,2.5,1,2,ecofl
en644,2019-08-19T14:26:00Z,41.3188,-71.3882,5,2.77,1,2,ecofl
en644,2019-08-19T14:27:00Z,41.3175,-71.385,5,2.82,1,2,ecofl
en644,2019-08-19T14:28:00Z,41.3161,-71.3818,5,2.96,1,2,ecofl
en644,2019-08-19T14:29:00Z,41.3149,-71.3785,5,3.05,1,2,ecofl
en644,2019-08-19T14:30:00Z,41.3141,-71.375,5,2.91,1,2,ecofl
en644,2019-08-19T14:31:00Z,41.3129,-71.3716,5,2.59,1,2,ecofl
en644,2019-08-19T14:32:00Z,41.3121,-71.3681,5,2.68,1,2,ecofl
en644,2019-08-19T14:33:00Z,41.3114,-71.3645,5,2.55,1,2,ecofl
en644,2019-08-19T14:34:00Z,41.3108,-71.3609,5,2.09,1,2,ecofl
en644,2019-08-19T14:35:00Z,41.31,-71.3573,5,1.95,1,2,ecofl
en644,2019-08-19T14:36:00Z,41.3091,-71.3538,5,1.63,1,2,ecofl
en644,2019-08-19T14:37:00Z,41.3087,-71.3501,5,1.59,1,2,ecofl
en644,2019-08-19T14:38:00Z,41.3079,-71.3466,5,1.59,1,2,ecofl
en644,2019-08-19T14:39:00Z,41.3073,-71.343,5,1.45,1,2,ecofl
en644,2019-08-19T14:40:00Z,41.3066,-71.3394,5,1.45,1,2,ecofl
en644,2019-08-19T14:41:00Z,41.306,-71.3359,5,1.45,1,2,ecofl
en644,2019-08-19T14:42:00Z,41.3053,-71.3324,5,1.5,1,2,ecofl
en644,2019-08-19T14:43:00Z,41.3045,-71.3289,5,1.45,1,2,ecofl
en644,2019-08-19T14:44:00Z,41.3039,-71.3253,5,1.45,1,2,ecofl
en644,2019-08-19T14:45:00Z,41.3032,-71.3218,5,1.45,1,2,ecofl
en644,2019-08-19T14:46:00Z,41.3024,-71.3183,5,1.41,1,2,ecofl
en644,2019-08-19T14:47:00Z,41.3018,-71.3148,5,1.45,1,2,ecofl
en644,2019-08-19T14:48:00Z,41.301,-71.3113,5,1.45,1,2,ecofl
en644,2019-08-19T14:49:00Z,41.2998,-71.308,5,1.54,1,2,ecofl
en644,2019-08-19T14:50:00Z,41.2986,-71.3047,5,1.59,1,2,ecofl
en644,2019-08-19T14:51:00Z,41.2974,-71.3014,5,1.54,1,2,ecofl
en644,2019-08-19T14:52:00Z,41.2964,-71.2981,5,1.54,1,2,ecofl
en644,2019-08-19T14:53:00Z,41.2952,-71.2949,5,1.54,1,2,ecofl
en644,2019-08-19T14:54:00Z,41.2941,-71.2915,5,1.59,1,2,ecofl
en644,2019-08-19T14:55:00Z,41.293,-71.2881,5,1.68,1,2,ecofl
en644,2019-08-19T14:56:00Z,41.2919,-71.2847,5,1.63,1,2,ecofl
en644,2019-08-19T14:57:00Z,41.291,-71.2813,5,1.54,1,2,ecofl
en644,2019-08-19T14:58:00Z,41.2899,-71.2779,5,1.41,1,2,ecofl
en644,2019-08-19T14:59:00Z,41.289,-71.2745,5,1.32,1,2,ecofl
en644,2019-08-19T15:00:00Z,41.2879,-71.2711,5,1.41,1,2,ecofl
en644,2019-08-19T15:01:00Z,41.287,-71.2677,5,1.41,1,2,ecofl
en644,2019-08-19T15:02:00Z,41.2863,-71.2643,5,1.5,1,2,ecofl
en644,2019-08-19T15:03:00Z,41.2853,-71.2608,5,1.45,1,2,ecofl
en644,2019-08-19T15:04:00Z,41.2839,-71.2576,5,1.45,1,2,ecofl
en644,2019-08-19T15:05:00Z,41.2826,-71.2544,5,1.41,1,2,ecofl
en644,2019-08-19T15:06:00Z,41.2814,-71.2511,5,1.41,1,2,ecofl
en644,2019-08-19T15:07:00Z,41.2802,-71.2478,5,1.41,1,2,ecofl
en644,2019-08-19T15:08:00Z,41.2793,-71.2447,5,1.41,1,2,ecofl
en644,2019-08-19T15:09:00Z,41.2786,-71.2423,5,1.5,1,2,ecofl
en644,2019-08-19T15:10:00Z,41.2782,-71.2404,5,1.45,1,2,ecofl
en644,2019-08-19T15:11:00Z,41.2778,-71.2386,5,1.5,1,2,ecofl
en644,2019-08-19T15:12:00Z,41.2773,-71.2369,5,1.5,1,2,ecofl
en644,2019-08-19T15:13:00Z,41.2768,-71.2349,5,1.54,1,2,ecofl
en644,2019-08-19T15:14:00Z,41.2764,-71.2328,5,1.54,1,2,ecofl
en644,2019-08-19T15:15:00Z,41.2759,-71.2305,5,1.59,1,2,ecofl
en644,2019-08-19T15:16:00Z,41.275,-71.2281,5,1.54,1,2,ecofl
en644,2019-08-19T15:17:00Z,41.2742,-71.2258,5,1.54,1,2,ecofl
en644,2019-08-19T15:18:00Z,41.2736,-71.2233,5,1.54,1,2,ecofl
en644,2019-08-19T15:19:00Z,41.2727,-71.2208,5,1.54,1,2,ecofl
